steps,return
0,-539.7847999999999
1,-199.7891
2,-312.78899999999993
3,479.6484
4,801.4185000000001
5,464.6487999999998
6,-40.32609999999998
7,265.5668000000001
8,112.6423999999999
9,-17.834400000000038
10,29.3079
11,-185.93170000000023
12,-402.13259999999985
13,67.62579999999996
14,-117.3752
15,585.4237
16,286.74000000000007
17,-25.97169999999999
18,358.44100000000014
19,-361.0642000000001
20,-96.65419999999997
21,-309.42840000000007
22,-541.1749
23,-122.33510000000003
24,213.1553
25,43.51260000000005
26,298.6470999999999
27,384.0450000000002
28,509.61000000000007
29,-559.9068
30,-517.3738000000002
31,-245.76269999999997
32,480.57190000000014
33,140.91369999999998
