steps,return
0,398.3152199999999
1,473.65587
2,464.91971999999964
3,531.1682249999998
4,412.0837200000002
5,338.27783999999974
6,439.2412450000002
7,480.2314749999997
8,503.1955249999998
9,348.02909499999987
10,488.97475499999996
11,469.3374099999999
12,419.91163500000044
13,438.4004699999998
14,393.1861849999997
15,430.78234499999945
16,498.9050650000003
17,477.62034999999986
18,459.8339849999998
19,355.2042699999999
20,414.3318650000001
21,467.59248999999977
22,469.66585999999984
23,534.8605700000003
24,504.4368450000002
25,493.97413999999986
26,449.6379399999999
27,491.5503300000001
28,267.26705000000004
29,454.1507000000002
30,378.44581000000045
31,481.5181949999997
