# {"t_start": 1608789182.3069544} 
r,l,t
13.488211,161,27.376299
19.177498,180,29.35678
20.107887,274,36.638788
19.036453,291,38.492509
26.771215,305,40.190892
8.611888,348,55.41845
6.802579,238,56.209184
14.228319,386,60.884282
32.446922,572,61.889426
35.395924,574,62.56688
33.061256,587,64.231863
8.017177,324,66.775974
12.105652,324,68.289834
4.150143,161,71.899122
4.5497184,204,75.389412
4.8226743,191,79.712789
7.187503,167,82.359519
7.1162033,252,104.38958
7.7338543,335,114.131209
9.650836,398,115.774148
8.861887,181,117.243819
9.439806,318,121.780502
11.559852,450,122.818667
2.485123,122,126.997394
3.6347902,149,130.337872
13.25207,378,132.207948
14.705575,463,143.083433
8.345462,303,147.643541
8.821297,294,151.045043
11.738598,297,156.026234
24.210909,776,157.260049
9.763093,355,160.220319
8.155123,228,163.215923
10.755666,489,164.137187
12.918659,586,165.927058
4.2965784,178,168.109521
7.93237,219,168.706533
7.261179,203,194.390798
7.343041,156,198.403246
11.899757,258,200.091681
6.606261,242,201.750369
6.4067974,196,204.449358
6.3697352,244,205.737898
9.184103,275,211.356919
10.446638,231,214.983738
7.066865,177,217.585675
4.819726,210,218.25729
12.115447,406,220.204661
8.608786,159,220.945164
7.6190834,197,223.594563
4.3208447,164,230.371465
6.533781,151,231.927684
6.6695523,135,232.830687
7.7165895,156,233.506778
5.996584,170,236.708164
9.1577215,260,237.303007
14.895984,416,239.941205
10.31881,317,251.297911
5.732638,150,252.205498
8.381278,236,256.92151
8.027362,282,258.089113
7.8523326,253,259.356019
3.8684182,159,284.659031
9.840578,407,286.606203
13.857849,417,289.405328
10.052832,220,295.345106
7.7257037,166,299.221151
13.576333,301,303.883019
5.2053657,110,305.326987
7.964694,207,307.581965
14.767968,416,308.656758
12.427116,386,311.691453
10.889147,284,312.571998
6.9905515,146,314.068117
18.363714,744,318.916769
7.715376,136,321.698728
9.023204,201,324.099785
8.093105,158,327.0006
5.709749,185,330.695074
11.000629,279,332.341125
6.440155,207,339.723803
5.4344277,110,341.617234
6.748533,168,342.296999
9.152672,203,342.983351
9.29647,274,344.796182
5.953,152,345.922668
14.180985,412,351.398328
16.09353,511,355.987038
7.8278666,165,377.164283
4.178515,152,378.809921
7.694503,188,380.159936
8.360787,230,384.991732
6.5918574,144,389.961245
11.998707,354,392.711119
8.655432,194,397.096664
9.081125,180,401.395962
11.436051,268,403.225638
6.722102,123,405.317839
5.695549,152,405.317877
19.016708,394,408.027531
19.338423,543,412.648568
6.7142105,169,417.373538
7.04566,221,418.449375
4.843393,133,419.940468
13.067484,488,421.448932
5.7858915,209,424.713192
8.683363,232,427.031332
7.5770335,153,427.928817
10.475619,193,435.894297
7.9435806,186,436.918103
4.066806,115,437.647462
12.121649,373,439.263273
7.124376,158,440.319054
9.473998,202,446.236208
5.464525,133,449.699747
12.668467,300,449.699785
7.0903144,150,472.560507
10.251129,178,475.740933
4.552996,114,476.89667
8.09391,230,479.262382
13.331974,461,481.51653
9.806944,226,489.296957
7.6411433,171,493.579813
17.211859,449,497.496511
12.440222,291,498.542496
11.87489,256,503.22119
7.454874,189,506.115857
11.249017,408,511.655571
13.694085,402,512.35936
7.8614597,162,512.963326
16.754202,542,517.718358
6.5123153,134,518.813182
6.8403997,221,519.424669
14.142692,319,523.38977
6.402932,246,526.482111
7.7415795,179,529.40396
7.863218,171,533.601617
7.982512,187,536.038022
13.582525,290,539.269983
3.9636624,74,540.812451
9.574448,248,542.105384
9.620262,215,565.778617
7.903333,187,566.452527
13.318723,330,572.829069
7.500441,152,574.488411
8.872782,211,575.760082
5.9935884,230,580.49078
5.857872,160,581.09106
6.049865,194,584.589591
9.226535,205,591.639341
6.4902787,139,593.312211
6.9224763,222,595.961361
10.479085,400,598.47853
9.760823,228,601.539604
22.992317,800,605.911773
9.346494,216,611.967709
9.59467,328,613.160589
12.017884,250,614.629221
11.695912,266,619.339869
4.6966033,178,621.7946
22.068342,615,629.506755
15.151815,421,634.902379
13.680566,297,658.99666
15.183526,338,663.487842
8.308852,263,664.565728
9.562004,476,673.781233
11.459544,464,679.165695
11.330899,237,679.940882
11.006433,432,686.928282
13.229236,399,689.854309
18.572035,800,691.604098
8.309339,223,694.251106
15.456578,349,695.393302
11.549717,359,697.185058
6.238491,199,707.804569
8.597001,186,708.515594
6.0729795,213,713.127167
11.468015,236,717.334744
16.119541,374,721.145007
6.701376,165,723.276181
15.590841,505,725.575361
5.087255,218,752.206052
9.85669,247,758.607567
7.7831535,173,760.082552
8.860843,206,761.434747
19.176775,713,764.304999
